"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"153",157,"Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,5,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"154",158,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"155",159,"Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"156",160,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,1,0.04,1070.339252,42.81357008,"cr_sal",6.4049399539694,NA
"157",161,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"158",162,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"159",163,"Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"160",164,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"161",165,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"162",166,"Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,4,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"163",167,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"164",168,"Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"165",169,"Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,13,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"166",170,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"167",171,"Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"168",172,"Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,6,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"169",173,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"170",174,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"171",175,"Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"172",176,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"173",177,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,0,NA,NA,NA,"de_sal",-0.385778040749001,NA
"174",178,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,0,0,NA,NA,"de_sal",-0.385778040749001,NA
"175",179,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,0,0,NA,NA,"de_sal",-0.385778040749001,NA
"176",180,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,2,0.0217391304347826,1.208115926,0.0262633896956522,"de_sal",0.0961938929438299,-0.611313326674369
"177",181,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,1,0.0050761421319797,346.0660045,1.75668022588832,"de_sal",-0.273236370952705,-0.571729774168526
"178",182,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"de_sal",-0.385778040749001,NA
"179",183,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"de_sal",-0.385778040749001,NA
"180",184,"E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,6,0,0,NA,NA,"de_sal",-0.385778040749001,NA
